城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度,距离_南山科技园,距离_深圳湾,距离_福田CBD,距离_坂田科技城,最近距离,最近就业区,最近距离(km),星巴克数量,麦当劳数量
深圳,福田区,香蜜湖,东海花园二期福禄居,三居,3室2厅2卫,16000.0,117.0,136.75,南,链家,整租·东海花园二期福禄居 3室2厅 南,https://sz.lianjia.com/zufang/SZ1649668525775650816.html,114.023865,22.538568,小区,11773.0,10682.0,4625.0,18271.0,4625.0,福田CBD,4.625,6,6
深圳,福田区,华强北,桑达新村,三居,3室2厅1卫,6900.0,98.0,70.41,南 北,链家/个人,整租·桑达新村 3室2厅 南/北,https://sz.lianjia.com/zufang/SZ1667432632234803200.html,114.089409,22.542066,小区(模糊),16823.0,17781.0,6018.0,13997.0,6018.0,福田CBD,6.018,10,9
深圳,盐田区,梅沙,水云间雅居,一居,1室1厅1卫,3000.0,59.0,50.85,东南,链家/个人,整租·水云间雅居 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1673286549690646528.html,114.31449,22.599091,小区,44767.0,42573.0,31725.0,35378.0,31725.0,福田CBD,31.725,2,2
深圳,福田区,车公庙,都市阳光名苑,三居,3室1厅1卫,12700.0,105.2,120.72,北,链家/个人,整租·都市阳光名苑 3室1厅 北,https://sz.lianjia.com/zufang/SZ1681688079007481856.html,114.025398,22.53482,小区,12858.0,10619.0,4562.0,19356.0,4562.0,福田CBD,4.562,10,7
深圳,盐田区,沙头角,建工大厦,一居,1室0厅0卫,3000.0,33.0,90.91,西南,链家,整租·建工大厦 1室0厅 西南,https://sz.lianjia.com/zufang/SZ1684818587665039360.html,114.227814,22.550781,小区,34040.0,31846.0,20998.0,27686.0,20998.0,福田CBD,20.998,0,2
深圳,盐田区,沙头角,建工大厦,一居,1室0厅0卫,3200.0,33.0,96.97,西北,链家,整租·建工大厦 1室0厅 西北,https://sz.lianjia.com/zufang/SZ1684821096169209856.html,114.227814,22.550781,小区,34040.0,31846.0,20998.0,27686.0,20998.0,福田CBD,20.998,0,2
深圳,罗湖区,春风路,联城美园,一居,1室0厅1卫,3250.0,28.58,113.72,东,贝壳优选,整租·联城美园 1室0厅 东,https://sz.lianjia.com/zufang/SZ1685553069846167552.html,114.128622,22.543379,小区,22234.0,20040.0,9192.0,16923.0,9192.0,福田CBD,9.192,6,9
深圳,福田区,香蜜湖,东海国际公寓,两居,2室2厅2卫,33000.0,122.0,270.49,北,链家,整租·东海国际公寓 2室2厅 北,https://sz.lianjia.com/zufang/SZ1689130706619334656.html,114.055198,22.520922,行政区,15044.0,12850.0,1017.0,18694.0,1017.0,福田CBD,1.017,5,5
深圳,福田区,景田,景发花园,三居,3室1厅1卫,6000.0,88.0,68.18,南,链家,整租·景发花园 3室1厅 南,https://sz.lianjia.com/zufang/SZ1689271029295218688.html,114.039208,22.550703,小区,12411.0,11893.0,4358.0,15846.0,4358.0,福田CBD,4.358,3,3
深圳,南山区,华侨城,东组团,三居,3室2厅1卫,7000.0,89.0,78.65,南,链家,整租·东组团 3室2厅 南,https://sz.lianjia.com/zufang/SZ1689492803077275648.html,113.989736,22.537779,小区,5650.0,7862.0,9310.0,22224.0,5650.0,南山科技园,5.65,3,4
深圳,盐田区,梅沙,倚天阁,一居,1室1厅1卫,5000.0,79.96,62.53,南,链家/个人,整租·倚天阁 1室1厅 南,https://sz.lianjia.com/zufang/SZ1689551221687320576.html,114.236739,22.557001,行政区,35051.0,32857.0,22009.0,28697.0,22009.0,福田CBD,22.009,2,4
深圳,盐田区,沙头角,太平洋小区,三居,3室2厅1卫,5200.0,89.84,57.88,东南,链家,整租·太平洋小区 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1697193884402057216.html,114.236739,22.557001,小区,35051.0,32857.0,22009.0,28697.0,22009.0,福田CBD,22.009,2,4
深圳,福田区,福田中心,彩天名苑,两居,2室1厅1卫,6000.0,60.0,100.0,东,贝壳优选,整租·彩天名苑 2室1厅 东,https://sz.lianjia.com/zufang/SZ1702729839997353984.html,114.068496,22.537101,小区,16110.0,13916.0,3072.0,14719.0,3072.0,福田CBD,3.072,7,8
深圳,宝安区,新安,黄金大厦,一居,1室1厅1卫,4100.0,47.88,85.63,东南,贝壳优选,整租·黄金大厦 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1702996678451134464.html,113.889132,22.575683,小区(模糊),9796.0,16431.0,23487.0,30841.0,9796.0,南山科技园,9.796,2,6
深圳,罗湖区,春风路,联城美园,一居,1室0厅1卫,3200.0,25.38,126.08,南,贝壳优选,整租·联城美园 1室0厅 南,https://sz.lianjia.com/zufang/SZ1708139582119215104.html,114.128622,22.543379,小区,22234.0,20040.0,9192.0,16923.0,9192.0,福田CBD,9.192,6,9
深圳,南山区,前海,佳兆业前海广场一期,三居,3室1厅1卫,2500.0,15.0,166.67,东南,链家/个人,合租·佳兆业前海广场一期 3居室 东南卧,https://sz.lianjia.com/zufang/SZ1709859428498407424.html,113.886434,22.494063,小区,11778.0,11534.0,20611.0,34172.0,11534.0,深圳湾,11.534,2,1
深圳,罗湖区,布心,比华利山庄,两居,2室2厅2卫,6800.0,75.0,90.67,南,链家/个人,整租·比华利山庄 2室2厅 南,https://sz.lianjia.com/zufang/SZ1709878596857757696.html,114.117006,22.584667,板块,25081.0,26700.0,15511.0,13982.0,13982.0,坂田科技城,13.982,0,2
深圳,福田区,景田,新景苑,三居,3室2厅2卫,9200.0,108.0,85.19,南,链家/个人,整租·新景苑 3室2厅 南,https://sz.lianjia.com/zufang/SZ1710231880944582656.html,114.04825,22.548799,小区,13901.0,14056.0,4277.0,16114.0,4277.0,福田CBD,4.277,7,4
深圳,盐田区,盐田港,金山碧海花园,三居,3室2厅2卫,7000.0,117.0,59.83,东南,链家,整租·金山碧海花园 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1710663203337273344.html,114.239632,22.588589,小区,38556.0,39403.0,28555.0,26664.0,26664.0,坂田科技城,26.664,0,0
深圳,龙岗区,坂田,德润荣君府,一居,1室1厅1卫,3700.0,44.05,84.0,南,贝壳优选,整租·德润荣君府 1室1厅 南,https://sz.lianjia.com/zufang/SZ1717949330574278656.html,114.246884,22.720889,行政区,43264.0,44868.0,36668.0,26016.0,26016.0,坂田科技城,26.016,4,6
深圳,盐田区,梅沙,万科东海岸二期,两居,2室2厅1卫,5500.0,86.0,63.95,南,链家/个人,整租·万科东海岸二期 2室2厅 南,https://sz.lianjia.com/zufang/SZ1720679296072155136.html,114.297468,22.60125,小区,44272.0,42078.0,31230.0,34883.0,31230.0,福田CBD,31.23,0,1
深圳,罗湖区,春风路,联城美园,一居,1室1厅1卫,4100.0,36.78,111.47,北,贝壳优选,整租·联城美园 1室1厅 北,https://sz.lianjia.com/zufang/SZ1723728036156669952.html,114.128622,22.543379,小区,22234.0,20040.0,9192.0,16923.0,9192.0,福田CBD,9.192,6,9
深圳,南山区,前海,招商前海·领尚公馆,一居,1室0厅1卫,5100.0,41.0,124.39,东南,贝壳优选,整租·招商前海·领尚公馆 1室0厅 东南,https://sz.lianjia.com/zufang/SZ1725001188639768576.html,113.930478,22.533191,行政区,4166.0,6027.0,15098.0,27079.0,4166.0,南山科技园,4.166,5,5
深圳,盐田区,沙头角,天丰公寓,三居,3室2厅1卫,3500.0,89.9,38.93,东南,链家/个人,整租·天丰公寓 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1725042606817148928.html,113.82656,22.724682,小区,32168.0,44891.0,43018.0,42512.0,32168.0,南山科技园,32.168,0,2
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅2卫,38000.0,205.0,185.37,南,链家,整租·东海国际公寓 3室2厅 南,https://sz.lianjia.com/zufang/SZ1731949986767175680.html,114.055198,22.520922,行政区,15044.0,12850.0,1017.0,18694.0,1017.0,福田CBD,1.017,5,5
深圳,盐田区,沙头角,诗宁别墅,两居,2室2厅1卫,4000.0,70.0,57.14,东,链家/个人,整租·诗宁别墅 2室2厅 东,https://sz.lianjia.com/zufang/SZ1733126876949381120.html,114.234367,22.549842,小区,34846.0,32652.0,21804.0,28492.0,21804.0,福田CBD,21.804,2,4
深圳,罗湖区,春风路,联城美园,一居,1室0厅1卫,3300.0,28.49,115.83,西南,贝壳优选,整租·联城美园 1室0厅 西南,https://sz.lianjia.com/zufang/SZ1734110839457185792.html,114.128622,22.543379,小区,22234.0,20040.0,9192.0,16923.0,9192.0,福田CBD,9.192,6,9
深圳,盐田区,梅沙,万科东海岸一期,三居,3室2厅2卫,5500.0,117.0,47.01,东南,链家/个人,整租·万科东海岸一期 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1736707077339873280.html,114.236739,22.557001,行政区,35051.0,32857.0,22009.0,28697.0,22009.0,福田CBD,22.009,2,4
深圳,龙岗区,大运新城,世茂深港国际中心,两居,2室1厅1卫,3200.0,62.0,51.61,南,链家,整租·世茂深港国际中心 2室1厅 南,https://sz.lianjia.com/zufang/SZ1737765471282790400.html,114.21298,22.700032,小区,39940.0,41544.0,33344.0,22692.0,22692.0,坂田科技城,22.692,0,4
深圳,大鹏新区,大鹏半岛,金众云山栖,三居,3室2厅1卫,3800.0,83.0,45.78,南,链家/个人,整租·金众云山栖 3室2厅 南,https://sz.lianjia.com/zufang/SZ1739307278198112256.html,114.408761,22.63787,小区,60954.0,58760.0,47912.0,45624.0,45624.0,坂田科技城,45.624,0,0
深圳,宝安区,西乡,兴华花园,三居,3室2厅1卫,3800.0,86.0,44.19,南,链家/个人,整租·兴华花园 3室2厅 南,https://sz.lianjia.com/zufang/SZ1739575691336220672.html,113.883831,22.554986,行政区,9241.0,12368.0,21439.0,30009.0,9241.0,南山科技园,9.241,5,6
深圳,罗湖区,百仕达,东乐花园,两居,2室1厅1卫,4500.0,81.89,54.95,南,链家/个人,整租·东乐花园 2室1厅 南,https://sz.lianjia.com/zufang/SZ1740330899792199680.html,114.140062,22.571676,小区,22986.0,24676.0,13828.0,16715.0,13828.0,福田CBD,13.828,2,4
深圳,大鹏新区,大鹏半岛,承翰半山海,三居,3室2厅2卫,3800.0,79.0,48.1,东南,链家/个人,整租·承翰半山海 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1743126682409107456.html,114.41291,22.615492,小区,56371.0,54177.0,43329.0,46982.0,43329.0,福田CBD,43.329,0,0
深圳,盐田区,沙头角,倚山花园二期,两居,2室2厅1卫,6000.0,76.0,78.95,西南,链家,整租·倚山花园二期 2室2厅 西南,https://sz.lianjia.com/zufang/SZ1743876982992535552.html,114.23108,22.543475,板块,35069.0,32875.0,22027.0,28715.0,22027.0,福田CBD,22.027,0,1
深圳,宝安区,新安,中粮创芯公园,一居,1室1厅1卫,5000.0,44.56,112.21,东南,贝壳优选,整租·中粮创芯公园 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1743972472157372416.html,113.917123,22.578971,小区,7246.0,12428.0,18207.0,26862.0,7246.0,南山科技园,7.246,3,3
深圳,龙岗区,龙岗中心城,风临国际东座,一居,1室1厅1卫,1900.0,47.62,39.9,南,贝壳优选,整租·风临国际东座 1室1厅 南,https://sz.lianjia.com/zufang/SZ1746054361869451264.html,114.246884,22.720889,小区,43264.0,44868.0,36668.0,26016.0,26016.0,坂田科技城,26.016,4,6
深圳,龙岗区,坂田,佳兆业中央广场六期,一居,1室1厅1卫,3300.0,49.6,66.53,东北,贝壳优选,整租·佳兆业中央广场六期 1室1厅 东北,https://sz.lianjia.com/zufang/SZ1750513760012861440.html,114.246884,22.720889,行政区,43264.0,44868.0,36668.0,26016.0,26016.0,坂田科技城,26.016,4,6
深圳,南山区,大学城,塘朗城,一居,1室1厅1卫,4600.0,33.98,135.37,南,贝壳优选,整租·塘朗城 1室1厅 南,https://sz.lianjia.com/zufang/SZ1752977424968056832.html,114.000556,22.589183,小区,11022.0,12626.0,13713.0,10436.0,10436.0,坂田科技城,10.436,5,3
深圳,龙华区,梅林关,滢水山庄二区,三居,3室2厅1卫,4500.0,98.0,45.92,南 北,链家/个人,整租·滢水山庄二区 3室2厅 南/北,https://sz.lianjia.com/zufang/SZ1753030025906487296.html,114.053393,22.600228,小区,18188.0,19792.0,11220.0,7361.0,7361.0,坂田科技城,7.361,4,3
深圳,南山区,西丽,万科云城,一居,1室1厅1卫,4800.0,28.75,166.96,北,贝壳优选,整租·万科云城 1室1厅 北,https://sz.lianjia.com/zufang/SZ1753606270083923968.html,113.930478,22.533191,行政区,4166.0,6027.0,15098.0,27079.0,4166.0,南山科技园,4.166,5,5
深圳,龙岗区,大运新城,世茂深港国际中心,一居,1室0厅1卫,2300.0,37.71,60.99,北,贝壳优选,整租·世茂深港国际中心 1室0厅 北,https://sz.lianjia.com/zufang/SZ1753624893406052352.html,114.21298,22.700032,小区,39940.0,41544.0,33344.0,22692.0,22692.0,坂田科技城,22.692,0,4
深圳,龙岗区,横岗,瑞泽佳园,一居,1室0厅0卫,3800.0,60.0,63.33,东,链家/个人,整租·瑞泽佳园 1室0厅 东,https://sz.lianjia.com/zufang/SZ1754160578865135616.html,114.182355,22.644786,小区,33193.0,35103.0,24255.0,16642.0,16642.0,坂田科技城,16.642,0,2
深圳,盐田区,盐田港,中海半山溪谷花园,两居,2室2厅1卫,3000.0,73.0,41.1,东南,链家/个人,整租·中海半山溪谷花园 2室2厅 东南,https://sz.lianjia.com/zufang/SZ1757953762309177344.html,114.236739,22.557001,行政区,35051.0,32857.0,22009.0,28697.0,22009.0,福田CBD,22.009,2,4
深圳,盐田区,沙头角,鹏湾花园一村,三居,3室2厅1卫,3900.0,85.0,45.88,东南,链家/个人,整租·鹏湾花园一村 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1761674504041398272.html,114.236351,22.55311,小区,34757.0,32563.0,21715.0,28403.0,21715.0,福田CBD,21.715,2,4
深圳,福田区,新洲,绿景新苑,两居,2室1厅1卫,8000.0,85.88,93.15,南,链家,整租·绿景新苑 2室1厅 南,https://sz.lianjia.com/zufang/SZ1761986136290361344.html,114.046024,22.523936,小区,13447.0,11253.0,1786.0,21335.0,1786.0,福田CBD,1.786,4,5
深圳,大鹏新区,大鹏半岛,海语山林,三居,3室2厅2卫,3500.0,88.45,39.57,南,链家/个人,整租·海语山林 3室2厅 南,https://sz.lianjia.com/zufang/SZ1762410936989122560.html,114.438249,22.626999,板块,60156.0,57962.0,47114.0,47772.0,47114.0,福田CBD,47.114,0,0
深圳,福田区,梅林,碧云天,三居,3室2厅2卫,11000.0,103.0,106.8,北,链家/个人,整租·碧云天 3室2厅 北,https://sz.lianjia.com/zufang/SZ1763504543208833024.html,114.037157,22.560375,小区,11229.0,12848.0,8838.0,17857.0,8838.0,福田CBD,8.838,3,3
深圳,罗湖区,清水河,龙园山庄,三居,3室2厅2卫,4800.0,107.0,44.86,南,链家/个人,整租·龙园山庄 3室2厅 南,https://sz.lianjia.com/zufang/SZ1767048332078743552.html,114.108544,22.586111,小区,20784.0,22403.0,11214.0,11543.0,11214.0,福田CBD,11.214,0,2
深圳,南山区,蛇口,栖游记,一居,1室0厅1卫,4000.0,30.0,133.33,西南,贝壳优选,整租·栖游记 1室0厅 西南,https://sz.lianjia.com/zufang/SZ1767474138185728000.html,113.930478,22.533191,行政区,4166.0,6027.0,15098.0,27079.0,4166.0,南山科技园,4.166,5,5
深圳,龙岗区,布吉大芬,帝景峰,两居,2室1厅1卫,2600.0,45.01,57.76,东南,贝壳优选,整租·帝景峰 2室1厅 东南,https://sz.lianjia.com/zufang/SZ1774849496186880000.html,114.132798,22.610596,小区,25929.0,27548.0,16359.0,10943.0,10943.0,坂田科技城,10.943,3,5
深圳,龙岗区,布吉关,荣超花园,一居,1室1厅1卫,2600.0,45.0,57.78,西,贝壳优选,整租·荣超花园 1室1厅 西,https://sz.lianjia.com/zufang/SZ1775101910928326656.html,114.119217,22.593346,小区,24130.0,25749.0,14560.0,13031.0,13031.0,坂田科技城,13.031,0,3
深圳,南山区,蛇口,四海宜家,三居,3室2厅1卫,12300.0,112.0,109.82,北,链家,整租·四海宜家 3室2厅 北,https://sz.lianjia.com/zufang/SZ1775750065864835072.html,113.930478,22.533191,行政区,4166.0,6027.0,15098.0,27079.0,4166.0,南山科技园,4.166,5,5
深圳,福田区,八卦岭,旭飞花园,一居,1室0厅1卫,2200.0,21.04,104.56,东,贝壳优选,整租·旭飞花园 1室0厅 东,https://sz.lianjia.com/zufang/SZ1777325188191354880.html,114.103195,22.558348,小区,18638.0,19606.0,8758.0,12418.0,8758.0,福田CBD,8.758,8,6
深圳,龙岗区,龙岗中心城,碧湖花园,两居,2室2厅1卫,2900.0,72.0,40.28,南 北,链家/个人,整租·碧湖花园 2室2厅 南/北,https://sz.lianjia.com/zufang/SZ1777982638649245696.html,114.241696,22.720398,小区,43081.0,44685.0,36485.0,25833.0,25833.0,坂田科技城,25.833,3,4
深圳,南山区,后海,深圳湾公馆,两居,2室2厅3卫,26000.0,87.16,298.3,西,链家/个人,整租·深圳湾公馆 2室2厅 西,https://sz.lianjia.com/zufang/SZ1778705040828006400.html,113.930478,22.533191,行政区,4166.0,6027.0,15098.0,27079.0,4166.0,南山科技园,4.166,5,5
深圳,盐田区,沙头角,壹海中心,一居,1室1厅1卫,10000.0,100.0,100.0,西北 北,链家/个人,整租·壹海中心 1室1厅 西北/北,https://sz.lianjia.com/zufang/SZ1779795326438211584.html,114.237513,22.554642,小区,35246.0,33052.0,22204.0,30813.0,22204.0,福田CBD,22.204,2,4
深圳,盐田区,盐田港,中海半山溪谷花园,三居,3室2厅1卫,4000.0,88.14,45.38,南,链家/个人,整租·中海半山溪谷花园 3室2厅 南,https://sz.lianjia.com/zufang/SZ1780079423941246976.html,114.241376,22.585347,小区,38430.0,39277.0,28429.0,26538.0,26538.0,坂田科技城,26.538,0,0
深圳,盐田区,沙头角,碧桐海苑,两居,2室1厅1卫,3700.0,65.68,56.33,西 北,链家,整租·碧桐海苑 2室1厅 西/北,https://sz.lianjia.com/zufang/SZ1780517256149598208.html,114.23108,22.543475,板块,35069.0,32875.0,22027.0,28715.0,22027.0,福田CBD,22.027,0,1
深圳,南山区,蛇口,南达楼,三居,3室2厅2卫,7200.0,80.0,90.0,南,链家/个人,整租·南达楼 3室2厅 南,https://sz.lianjia.com/zufang/SZ1781677642450206720.html,113.922934,22.494088,小区,7080.0,7734.0,16805.0,32364.0,7080.0,南山科技园,7.08,3,5
深圳,龙岗区,坂田,天安云谷产业园二期,两居,2室1厅1卫,3400.0,44.09,77.11,北,贝壳优选,整租·天安云谷产业园二期 2室1厅 复式 北,https://sz.lianjia.com/zufang/SZ1782980302105214976.html,114.068998,22.660029,小区,26358.0,27962.0,19390.0,4775.0,4775.0,坂田科技城,4.775,3,3
深圳,南山区,前海,星海名城五期,一居,1室0厅1卫,4200.0,34.59,121.42,北,贝壳优选,整租·星海名城五期 1室0厅 北,https://sz.lianjia.com/zufang/SZ1786239314175197184.html,113.930478,22.533191,行政区,4166.0,6027.0,15098.0,27079.0,4166.0,南山科技园,4.166,5,5
深圳,龙岗区,龙岗中心城,琳珠华庭,一居,1室0厅1卫,2150.0,39.0,55.13,东南,贝壳优选,整租·琳珠华庭 1室0厅 东南,https://sz.lianjia.com/zufang/SZ1786697356675121152.html,114.235014,22.70402,小区,41623.0,43227.0,35027.0,24375.0,24375.0,坂田科技城,24.375,1,2
深圳,罗湖区,春风路,长丰苑,一居,1室1厅1卫,3500.0,39.25,89.17,南,贝壳优选,整租·长丰苑 1室1厅 南,https://sz.lianjia.com/zufang/SZ1787802134687776768.html,114.127675,22.542081,小区,22869.0,20675.0,9827.0,16874.0,9827.0,福田CBD,9.827,8,9
深圳,龙华区,龙华新区,金地梅陇镇三期,三居,3室2厅2卫,5800.0,88.44,65.58,南 北,贝壳优选,整租·金地梅陇镇三期 3室2厅 南/北,https://sz.lianjia.com/zufang/SZ1788863638333816832.html,114.031362,22.672346,板块,26107.0,26992.0,23503.0,6493.0,6493.0,坂田科技城,6.493,0,1
深圳,龙岗区,横岗,志健时代广场,一居,1室1厅1卫,2200.0,47.71,46.11,西北,贝壳优选,整租·志健时代广场 1室1厅 西北,https://sz.lianjia.com/zufang/SZ1790077650778193920.html,114.204805,22.647134,小区,34907.0,36817.0,25969.0,21206.0,21206.0,坂田科技城,21.206,2,4
深圳,罗湖区,东门,培森大厦,两居,2室1厅1卫,3600.0,48.0,75.0,南,链家,整租·培森大厦 2室1厅 南,https://sz.lianjia.com/zufang/SZ1791324593412112384.html,114.12028,22.554611,小区,23817.0,20521.0,9673.0,15585.0,9673.0,福田CBD,9.673,3,3
深圳,罗湖区,百仕达,阳光绿地家园,一居,1室1厅1卫,3300.0,39.05,84.51,东南,贝壳优选,整租·阳光绿地家园 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1791459335998537728.html,114.131611,22.548309,行政区,23813.0,21019.0,10171.0,15950.0,10171.0,福田CBD,10.171,4,9
深圳,福田区,华强北,玮鹏花园,两居,2室1厅1卫,8800.0,84.0,104.76,北,链家/个人,整租·玮鹏花园 2室1厅 北,https://sz.lianjia.com/zufang/SZ1791750951267205120.html,114.094633,22.542175,小区,19859.0,17423.0,6575.0,13639.0,6575.0,福田CBD,6.575,7,7
深圳,龙岗区,布吉大芬,怡康家园,一居,1室1厅1卫,2000.0,32.13,62.25,南,贝壳优选,整租·怡康家园 1室1厅 南,https://sz.lianjia.com/zufang/SZ1792971178474733568.html,114.137096,22.614354,小区,25837.0,27456.0,16267.0,10884.0,10884.0,坂田科技城,10.884,1,3
深圳,宝安区,翻身,卡罗社区,一居,1室1厅1卫,3900.0,35.8,108.94,东南,贝壳优选,整租·卡罗社区 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1793574394413449216.html,113.883831,22.554986,行政区,9241.0,12368.0,21439.0,30009.0,9241.0,南山科技园,9.241,5,6
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅4卫,50000.0,198.0,252.53,东,链家,整租·东海国际公寓 3室2厅 东,https://sz.lianjia.com/zufang/SZ1795452890505019392.html,114.020414,22.536365,小区,10148.0,9487.0,5307.0,18970.0,5307.0,福田CBD,5.307,6,6
深圳,罗湖区,春风路,金城大厦,两居,2室1厅1卫,4200.0,48.0,87.5,南,链家/个人,整租·金城大厦 2室1厅 南,https://sz.lianjia.com/zufang/SZ1795670476853346304.html,114.121813,22.542989,小区,21876.0,19682.0,8834.0,16783.0,8834.0,福田CBD,8.834,8,9
深圳,宝安区,福永,会展湾水岸,一居,1室1厅1卫,2900.0,37.68,76.96,东南,贝壳优选,整租·会展湾水岸 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1797232329937125376.html,113.883831,22.554986,行政区,9241.0,12368.0,21439.0,30009.0,9241.0,南山科技园,9.241,5,6
深圳,龙华区,龙华中心,通达汇轩,一居,1室1厅1卫,1900.0,29.24,64.98,南 北,贝壳优选,整租·通达汇轩 1室1厅 南/北,https://sz.lianjia.com/zufang/SZ1798629941357576192.html,114.04491,22.696735,小区,29354.0,30303.0,21731.0,8617.0,8617.0,坂田科技城,8.617,2,2
深圳,福田区,香蜜湖,财富广场,两居,2室1厅1卫,8000.0,80.0,100.0,南,链家/个人,整租·财富广场 2室1厅 南,https://sz.lianjia.com/zufang/SZ1798659766113796096.html,114.026623,22.537588,小区,10646.0,9985.0,5374.0,19005.0,5374.0,福田CBD,5.374,8,5
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅3卫,29500.0,191.83,153.78,西北,链家,整租·东海国际公寓 3室2厅 西北,https://sz.lianjia.com/zufang/SZ1799434527089623040.html,114.055198,22.520922,行政区,15044.0,12850.0,1017.0,18694.0,1017.0,福田CBD,1.017,5,5
深圳,坪山区,坪山,恒大成二期,三居,3室2厅2卫,3700.0,95.0,38.95,南,贝壳优选,整租·恒大成二期 3室2厅 南,https://sz.lianjia.com/zufang/SZ1800032250796965888.html,114.339587,22.698099,小区,53382.0,53124.0,42276.0,36134.0,36134.0,坂田科技城,36.134,2,2
深圳,罗湖区,地王,中航凯特公寓,一居,1室0厅1卫,2400.0,28.08,85.47,东,贝壳优选,整租·中航凯特公寓 1室0厅 东,https://sz.lianjia.com/zufang/SZ1800040015321890816.html,114.1089,22.551453,小区,20208.0,19167.0,8319.0,13988.0,8319.0,福田CBD,8.319,5,8
