城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度,距离_未来科技城,距离_钱江新城,距离_滨江区,距离_湖滨商圈,最近距离,最近就业区,最近距离(km),星巴克数量,麦当劳数量
杭州,萧山区,大江东,相贤府,三居,3室2厅2卫,1800.0,89.0,20.22,南,链家/个人,整租·相贤府 3室2厅 南,https://hz.lianjia.com/zufang/HZ1580393750734045184.html,120.264263,30.184119,小区,45589.0,10811.0,7665.0,19426.0,7665.0,滨江区,7.665,5,2
杭州,富阳区,富春,天河富春湾小区,三居,3室1厅1卫,2500.0,110.0,22.73,南,链家/个人,整租·天河富春湾小区 3室1厅 南,https://hz.lianjia.com/zufang/HZ1580790767629107200.html,119.944282,30.03645,小区,33378.0,49199.0,45481.0,50278.0,33378.0,未来科技城,33.378,1,0
杭州,西湖区,文三西路,紫金庭园,三居,3室2厅2卫,8000.0,150.0,53.33,南,链家/个人,整租·紫金庭园 3室2厅 南,https://hz.lianjia.com/zufang/HZ1586208868445192192.html,120.103451,30.27596,板块,11743.0,13993.0,20246.0,8807.0,8807.0,湖滨商圈,8.807,2,2
杭州,富阳区,富春,中庆润泽院,三居,3室2厅1卫,3000.0,82.0,36.59,南,链家/个人,整租·中庆润泽院 3室2厅 南,https://hz.lianjia.com/zufang/HZ1586297797051678720.html,119.923506,30.055482,小区,34378.0,42629.0,38885.0,43682.0,34378.0,未来科技城,34.378,1,1
杭州,临安区,临安,苕溪学府,一居,1室1厅1卫,800.0,40.63,19.69,西南,链家/个人,整租·苕溪学府 1室1厅 西南,https://hz.lianjia.com/zufang/HZ1586598700824657920.html,119.699165,30.231331,小区,32129.0,57352.0,66157.0,52473.0,32129.0,未来科技城,32.129,1,0
杭州,富阳区,富春,春晖社区迎春路,三居,3室1厅1卫,1000.0,58.78,17.01,南,链家/个人,整租·春晖社区迎春路 3室1厅 南,https://hz.lianjia.com/zufang/HZ1590553969652924416.html,119.944368,30.053477,板块,31463.0,41439.0,37695.0,42492.0,31463.0,未来科技城,31.463,1,0
杭州,临安区,临安,天目观山月,一居,1室1厅1卫,4000.0,49.57,80.69,南,链家/个人,整租·天目观山月 1室1厅 南,https://hz.lianjia.com/zufang/HZ1593843732803747840.html,119.453122,30.299353,小区,70342.0,90406.0,99211.0,85527.0,70342.0,未来科技城,70.342,0,0
杭州,临安区,临安,绿岛花园南区,两居,2室2厅1卫,1900.0,82.42,23.05,南 北,链家/个人,整租·绿岛花园南区 2室2厅 南/北,https://hz.lianjia.com/zufang/HZ1604019212815171584.html,119.724457,30.234375,板块,30180.0,55171.0,63976.0,50292.0,30180.0,未来科技城,30.18,2,1
杭州,萧山区,义桥,金域兰庭,三居,3室2厅2卫,1900.0,127.0,14.96,南,链家/个人,整租·金域兰庭 3室2厅 南,https://hz.lianjia.com/zufang/HZ1608698116247126016.html,120.193072,30.082638,小区,41483.0,21977.0,15811.0,20608.0,15811.0,滨江区,15.811,0,0
杭州,上城区,南肖埠,新城市广场,一居,1室1厅1卫,3000.0,50.0,60.0,南,链家,整租·新城市广场 1室1厅 南,https://hz.lianjia.com/zufang/HZ1609108972042715136.html,120.19732,30.226543,小区,26758.0,3606.0,4621.0,5097.0,3606.0,钱江新城,3.606,7,1
杭州,富阳区,富春,三江鸣翠桃源,两居,2室1厅1卫,1800.0,125.0,14.4,南,链家/个人,整租·三江鸣翠桃源 2室1厅 南,https://hz.lianjia.com/zufang/HZ1611222091133091840.html,119.928083,30.032791,小区(模糊),60361.0,49265.0,45547.0,50344.0,45547.0,滨江区,45.547,0,0
杭州,萧山区,义桥,御景蓝湾,三居,3室2厅2卫,2000.0,89.0,22.47,南,链家/个人,整租·御景蓝湾 3室2厅 南,https://hz.lianjia.com/zufang/HZ1611325613686128640.html,120.188454,30.084442,小区,41217.0,21710.0,15544.0,20341.0,15544.0,滨江区,15.544,0,0
杭州,富阳区,富春,阳光城西郊半岛妙得阁,三居,3室1厅2卫,1000.0,130.0,7.69,南,链家/个人,整租·阳光城西郊半岛妙得阁 3室1厅 南,https://hz.lianjia.com/zufang/HZ1611659792537878528.html,119.974343,30.053841,小区,51054.0,39958.0,36240.0,41037.0,36240.0,滨江区,36.24,0,0
杭州,拱墅区,流水苑,施家花园,三居,3室1厅1卫,10800.0,185.0,58.38,南,链家,整租·施家花园 3室1厅 南,https://hz.lianjia.com/zufang/HZ1614853370265206784.html,120.172273,30.276499,小区(模糊),19597.0,7596.0,11507.0,6050.0,6050.0,湖滨商圈,6.05,7,2
杭州,上城区,南星,钱江国际商务中心,一居,1室0厅1卫,7200.0,117.0,61.54,南,链家/个人,整租·钱江国际商务中心 1室0厅 南,https://hz.lianjia.com/zufang/HZ1615906830125367296.html,120.175393,30.215806,小区,27029.0,5386.0,6015.0,5368.0,5368.0,湖滨商圈,5.368,2,1
杭州,西湖区,转塘,绿城之江1号,三居,3室2厅3卫,11700.0,228.0,51.32,南,链家/个人,整租·绿城之江1号 3室2厅 南,https://hz.lianjia.com/zufang/HZ1617432020374257664.html,120.072124,30.165134,小区,25775.0,18433.0,19585.0,16057.0,16057.0,湖滨商圈,16.057,2,0
杭州,钱塘区,大江东,杭房悦东方,三居,3室2厅2卫,1500.0,98.0,15.31,南,链家/个人,整租·杭房悦东方 3室2厅 南,https://hz.lianjia.com/zufang/HZ1619990129084989440.html,120.557818,30.317639,小区(模糊),67159.0,41055.0,47159.0,48227.0,41055.0,钱江新城,41.055,0,0
杭州,桐庐县,桐庐,开元街,三居,3室2厅1卫,1150.0,90.0,12.78,南,链家/个人,整租·开元街 3室2厅 南,https://hz.lianjia.com/zufang/HZ1619992928153763840.html,119.678258,29.804652,小区,97386.0,86290.0,82572.0,87369.0,82572.0,滨江区,82.572,1,0
杭州,西湖区,黄龙,金祝新村,两居,2室1厅1卫,4700.0,51.1,91.98,南,链家,整租·金祝新村 2室1厅 南,https://hz.lianjia.com/zufang/HZ1619994617678135296.html,120.150335,30.271319,小区,18320.0,9019.0,11560.0,4359.0,4359.0,湖滨商圈,4.359,6,2
杭州,临平区,塘栖,群升星河印象中心,一居,1室1厅1卫,950.0,31.0,30.65,东北,链家,整租·群升星河印象中心 1室1厅 东北,https://hz.lianjia.com/zufang/HZ1621015162532134912.html,120.25068,30.465057,小区(模糊),40465.0,30071.0,36324.0,33047.0,30071.0,钱江新城,30.071,1,1
杭州,富阳区,富春,乐汇城,一居,1室1厅1卫,1600.0,40.0,40.0,南,链家/个人,整租·乐汇城 1室1厅 南,https://hz.lianjia.com/zufang/HZ1622887494246727680.html,119.914704,30.063939,小区,33569.0,41956.0,38212.0,43009.0,33569.0,未来科技城,33.569,0,0
杭州,富阳区,富春,盘龙山社区花坞路,两居,2室2厅1卫,1500.0,71.5,20.98,南 北,链家/个人,整租·盘龙山社区花坞路 2室2厅 南/北,https://hz.lianjia.com/zufang/HZ1622892915741163520.html,119.963136,30.0504,小区,51550.0,40454.0,36736.0,41533.0,36736.0,滨江区,36.736,1,1
杭州,萧山区,闻堰,南岸花城,三居,3室2厅2卫,2600.0,162.98,15.95,东南,链家/个人,整租·南岸花城 3室2厅 东南,https://hz.lianjia.com/zufang/HZ1625056242676269056.html,120.173793,30.134607,板块,45146.0,17349.0,11183.0,15980.0,11183.0,滨江区,11.183,1,1
杭州,富阳区,富春,春南社区南园路,两居,2室2厅1卫,1100.0,73.0,15.07,南,链家/个人,整租·春南社区南园路 2室2厅 南,https://hz.lianjia.com/zufang/HZ1625444764704833536.html,119.942925,30.043109,小区,35383.0,45409.0,41691.0,46488.0,35383.0,未来科技城,35.383,1,0
杭州,上城区,城站,外海西湖国贸大厦,一居,1室0厅0卫,3000.0,40.0,75.0,南,链家/个人,整租·外海西湖国贸大厦 1室0厅 南,https://hz.lianjia.com/zufang/HZ1628645062734774272.html,120.180054,30.24393,小区,24219.0,4704.0,6656.0,2611.0,2611.0,湖滨商圈,2.611,3,2
杭州,钱塘区,高教园区西,华元十六街区,两居,2室1厅1卫,2300.0,73.25,31.4,北,贝壳优选,整租·华元十六街区 2室1厅 北,https://hz.lianjia.com/zufang/HZ1630410141729816576.html,120.352749,30.309497,小区(模糊),38434.0,19100.0,24430.0,24530.0,19100.0,钱江新城,19.1,2,1
杭州,余杭区,闲林,绿城桃源小镇,三居,3室2厅1卫,1600.0,83.26,19.22,南,链家/个人,整租·绿城桃源小镇 3室2厅 南,https://hz.lianjia.com/zufang/HZ1630485263555756032.html,119.964789,30.230109,小区,10852.0,28540.0,38086.0,30548.0,10852.0,未来科技城,10.852,1,0
杭州,西湖区,转塘,云溪印象,两居,2室1厅1卫,3100.0,70.0,44.29,南,链家/个人,整租·云溪印象 2室1厅 跃层 南,https://hz.lianjia.com/zufang/HZ1630546132016824320.html,120.130396,30.259242,小区,18540.0,9691.0,14633.0,5856.0,5856.0,湖滨商圈,5.856,3,3
杭州,钱塘区,大江东,德意义和苑,三居,3室1厅3卫,800.0,30.0,26.67,南,链家/个人,合租·德意义和苑 3居室 南卧,https://hz.lianjia.com/zufang/HZ1633689456873570304.html,120.493306,30.274904,小区(模糊),63054.0,33261.0,33302.0,38691.0,33261.0,钱江新城,33.261,1,1
杭州,富阳区,富春,秦望佳苑,三居,3室2厅2卫,2300.0,150.0,15.33,南,链家/个人,整租·秦望佳苑 3室2厅 南,https://hz.lianjia.com/zufang/HZ1636212098293825536.html,119.941353,30.04155,小区,32838.0,44832.0,41114.0,45911.0,32838.0,未来科技城,32.838,1,0
杭州,临安区,青山湖科技城,缦云府,三居,3室2厅2卫,5000.0,137.0,36.5,南 北,链家/个人,整租·缦云府 3室2厅 复式 南/北,https://hz.lianjia.com/zufang/HZ1636661874198052864.html,119.771308,30.266394,小区,24714.0,50071.0,58876.0,45192.0,24714.0,未来科技城,24.714,0,0
杭州,西湖区,转塘,梧桐燕庐,三居,3室2厅1卫,4562.0,90.0,50.69,东南,贝壳优选,整租·梧桐燕庐 3室2厅 东南,https://hz.lianjia.com/zufang/HZ1640208610678013952.html,120.083238,30.17215,板块,26297.0,19195.0,18352.0,16819.0,16819.0,湖滨商圈,16.819,0,0
杭州,临安区,青山湖科技城,蔚宸悦城,一居,1室1厅1卫,1150.0,45.0,25.56,南,贝壳优选,整租·蔚宸悦城 1室1厅 复式 南,https://hz.lianjia.com/zufang/HZ1642492169396682752.html,119.824291,30.258777,小区,19936.0,45291.0,54096.0,40412.0,19936.0,未来科技城,19.936,1,0
杭州,富阳区,富春,彩云苑,两居,2室2厅2卫,2500.0,120.0,20.83,南,链家/个人,整租·彩云苑 2室2厅 南,https://hz.lianjia.com/zufang/HZ1642736245710782464.html,119.926375,30.054168,小区,34042.0,41918.0,38174.0,42971.0,34042.0,未来科技城,34.042,2,1
杭州,富阳区,富春,复城国际,一居,1室1厅1卫,2096.0,31.08,67.44,南,链家/个人,整租·复城国际 1室1厅 南,https://hz.lianjia.com/zufang/HZ1643832379715878912.html,119.931183,30.04989,小区(模糊),34526.0,42777.0,47785.0,52582.0,34526.0,未来科技城,34.526,1,1
杭州,富阳区,银湖科技城,九龙仓雍景山,三居,3室2厅2卫,1800.0,117.0,15.38,南,链家/个人,整租·九龙仓雍景山 3室2厅 南,https://hz.lianjia.com/zufang/HZ1643922214661128192.html,119.973491,30.163319,小区,17463.0,32649.0,28905.0,33702.0,17463.0,未来科技城,17.463,0,0
杭州,富阳区,鹿山新城,宋都江宸府,三居,3室2厅2卫,2500.0,100.0,25.0,南,链家/个人,整租·宋都江宸府 3室2厅 南,https://hz.lianjia.com/zufang/HZ1644210198316843008.html,119.925455,30.008071,小区,59068.0,47972.0,44254.0,49051.0,44254.0,滨江区,44.254,1,0
杭州,钱塘区,金沙湖,德嘉金沙阳光,一居,1室0厅1卫,1300.0,20.0,65.0,南 西,链家/个人,合租·德嘉金沙阳光 1居室 南/西卧,https://hz.lianjia.com/zufang/HZ1645354825505832960.html,120.328325,30.310412,板块,35132.0,16609.0,21909.0,22039.0,16609.0,钱江新城,16.609,4,4
杭州,临安区,临安,江桥路396号,两居,2室1厅1卫,1500.0,62.73,23.91,南,链家/个人,整租·江桥路396号 2室1厅 南,https://hz.lianjia.com/zufang/HZ1649398211544088576.html,119.721116,30.23162,小区,34559.0,54623.0,63428.0,49744.0,34559.0,未来科技城,34.559,2,1
杭州,富阳区,富春,万星碧云天公寓,两居,2室2厅1卫,2000.0,88.0,22.73,南,链家/个人,整租·万星碧云天公寓 2室2厅 跃层 南,https://hz.lianjia.com/zufang/HZ1650842860238405632.html,119.945256,30.055804,小区,31088.0,41064.0,37320.0,42117.0,31088.0,未来科技城,31.088,1,1
杭州,临安区,临安,旭辉东原吴越府,三居,3室2厅2卫,2300.0,97.0,23.71,南,链家/个人,整租·旭辉东原吴越府 3室2厅 南,https://hz.lianjia.com/zufang/HZ1652902773840150528.html,119.708777,30.214866,小区(模糊),36134.0,56198.0,65003.0,51319.0,36134.0,未来科技城,36.134,1,1
杭州,西湖区,文三,沈塘新村,两居,2室1厅1卫,2900.0,61.0,47.54,南,链家,整租·沈塘新村 2室1厅 南,https://hz.lianjia.com/zufang/HZ1653372800116719616.html,120.148374,30.279367,小区,17391.0,9422.0,11963.0,4762.0,4762.0,湖滨商圈,4.762,6,3
杭州,富阳区,富春,春城大厦,一居,1室1厅1卫,1000.0,30.0,33.33,南,链家/个人,整租·春城大厦 1室1厅 南,https://hz.lianjia.com/zufang/HZ1653666978952380416.html,119.937925,30.050416,小区,32180.0,42156.0,38412.0,43209.0,32180.0,未来科技城,32.18,1,0
杭州,钱塘区,大江东,杭房悦东方,三居,3室1厅2卫,1500.0,125.0,12.0,西,链家/个人,整租·杭房悦东方 3室1厅 西,https://hz.lianjia.com/zufang/HZ1654377268044103680.html,120.462888,30.330197,板块,58538.0,32434.0,38538.0,39606.0,32434.0,钱江新城,32.434,0,0
杭州,临安区,青山湖科技城,荣盛檀越府,三居,3室2厅2卫,900.0,99.0,9.09,南,链家/个人,整租·荣盛檀越府 3室2厅 南,https://hz.lianjia.com/zufang/HZ1654488266440704000.html,119.823017,30.253893,小区,19550.0,44905.0,53710.0,40026.0,19550.0,未来科技城,19.55,1,0
杭州,萧山区,南部卧城,光明右岸澜庭,三居,3室2厅2卫,5200.0,88.0,59.09,南,链家,整租·光明右岸澜庭 3室2厅 南,https://hz.lianjia.com/zufang/HZ1655126750893441024.html,120.2794,30.134487,小区,51245.0,18573.0,15144.0,22167.0,15144.0,滨江区,15.144,0,0
杭州,富阳区,银湖科技城,阳光城上林湖,三居,3室2厅3卫,3100.0,142.41,21.77,南 北,链家/个人,整租·阳光城上林湖 3室2厅 南/北,https://hz.lianjia.com/zufang/HZ1656241088249200640.html,119.978814,30.142187,板块,19459.0,30346.0,26602.0,31399.0,19459.0,未来科技城,19.459,1,2
杭州,临平区,临平新城,绿城风华苑,两居,2室2厅1卫,1700.0,84.87,20.03,南,贝壳优选,整租·绿城风华苑 2室2厅 南,https://hz.lianjia.com/zufang/HZ1657770971722940416.html,120.285456,30.399307,小区,35048.0,23266.0,29519.0,26242.0,23266.0,钱江新城,23.266,1,0
杭州,富阳区,富春,恩波社区宜家弄,两居,2室2厅2卫,1300.0,96.0,13.54,南,链家/个人,整租·恩波社区宜家弄 2室2厅 南,https://hz.lianjia.com/zufang/HZ1660478592724762624.html,119.944368,30.053477,板块,31463.0,41439.0,37695.0,42492.0,31463.0,未来科技城,31.463,1,0
杭州,余杭区,翡翠城,爱丁郡,三居,3室1厅2卫,3500.0,89.0,39.33,南,链家/个人,整租·爱丁郡 3室1厅 错层 南,https://hz.lianjia.com/zufang/HZ1660852712918482944.html,119.978742,30.273705,小区,5250.0,36559.0,42275.0,33088.0,5250.0,未来科技城,5.25,2,0
杭州,富阳区,富春,春晖社区回春路,两居,2室2厅1卫,1200.0,65.0,18.46,南,链家/个人,整租·春晖社区回春路 2室2厅 南,https://hz.lianjia.com/zufang/HZ1663025496092311552.html,119.94692,30.045988,小区,32332.0,42308.0,38564.0,43361.0,32332.0,未来科技城,32.332,1,0
杭州,钱塘区,大江东,帝凯帝景园,三居,3室2厅2卫,2000.0,112.0,17.86,南,链家/个人,整租·帝凯帝景园 3室2厅 南,https://hz.lianjia.com/zufang/HZ1664860474254032896.html,120.462351,30.297598,小区(模糊),57020.0,31437.0,37020.0,38088.0,31437.0,钱江新城,31.437,1,1
杭州,余杭区,闲林,众安溪园,三居,3室2厅4卫,4900.0,148.0,33.11,南,链家/个人,整租·众安溪园 3室2厅 跃层 南,https://hz.lianjia.com/zufang/HZ1665323511729618944.html,120.003269,30.234324,小区,7646.0,24248.0,30501.0,19369.0,7646.0,未来科技城,7.646,0,0
杭州,西湖区,黄龙,松木场社区,两居,2室1厅1卫,4100.0,48.91,83.83,南,链家/个人,整租·松木场社区 2室1厅 南,https://hz.lianjia.com/zufang/HZ1665333068325453824.html,120.147708,30.269731,小区,18293.0,9588.0,11509.0,4308.0,4308.0,湖滨商圈,4.308,4,2
杭州,富阳区,银湖科技城,云水山居,三居,3室2厅2卫,1000.0,99.0,10.1,南,链家/个人,整租·云水山居 3室2厅 南,https://hz.lianjia.com/zufang/HZ1667743644003598336.html,119.908195,30.114253,小区,27522.0,38965.0,35221.0,40018.0,27522.0,未来科技城,27.522,0,0
杭州,滨江区,彩虹城,现代印象广场,一居,1室1厅1卫,2700.0,59.0,45.76,南,链家/个人,整租·现代印象广场 1室1厅 南,https://hz.lianjia.com/zufang/HZ1667749900873367552.html,120.171142,30.185097,小区,31370.0,12663.0,4996.0,9851.0,4996.0,滨江区,4.996,6,2
杭州,西湖区,黄龙,友谊新村,两居,2室1厅1卫,3700.0,53.78,68.8,南,链家,整租·友谊新村 2室1厅 南,https://hz.lianjia.com/zufang/HZ1669673337464291328.html,120.144508,30.267725,小区,18703.0,8019.0,11385.0,4184.0,4184.0,湖滨商圈,4.184,4,1
杭州,上城区,四季青,观音塘小区,两居,2室1厅1卫,3800.0,58.0,65.52,南 北,链家/个人,整租·观音塘小区 2室1厅 南/北,https://hz.lianjia.com/zufang/HZ1671012163344400384.html,120.202612,30.244628,小区(模糊),28647.0,1524.0,6624.0,4697.0,1524.0,钱江新城,1.524,9,4
杭州,富阳区,富春,宝龙国际社区,三居,3室2厅1卫,3300.0,97.0,34.02,南,链家/个人,整租·宝龙国际社区 3室2厅 南,https://hz.lianjia.com/zufang/HZ1671377876898807808.html,119.923108,30.057047,小区,34377.0,42628.0,38884.0,43681.0,34377.0,未来科技城,34.377,1,1
杭州,临安区,临安,苕溪学府,一居,1室1厅1卫,800.0,47.0,17.02,南,链家/个人,整租·苕溪学府 1室1厅 南,https://hz.lianjia.com/zufang/HZ1671378529775779840.html,119.699165,30.231331,小区,32129.0,57352.0,66157.0,52473.0,32129.0,未来科技城,32.129,1,0
杭州,拱墅区,众安桥,永丰巷,一居,1室1厅1卫,4100.0,49.0,83.67,南 北,链家,整租·永丰巷 1室1厅 南/北,https://hz.lianjia.com/zufang/HZ1672071633080156160.html,120.168749,30.259964,小区(模糊),20257.0,5179.0,8622.0,1421.0,1421.0,湖滨商圈,1.421,11,6
杭州,富阳区,富春,春晖社区迎春路,三居,3室1厅1卫,1400.0,80.0,17.5,南,链家/个人,整租·春晖社区迎春路 3室1厅 南,https://hz.lianjia.com/zufang/HZ1672091414638362624.html,119.946168,30.04576,小区,32579.0,42555.0,38811.0,43608.0,32579.0,未来科技城,32.579,1,0
杭州,上城区,城东新城,万科中央公园,三居,3室2厅2卫,11000.0,112.0,98.21,南,链家/个人,整租·万科中央公园 3室2厅 南,https://hz.lianjia.com/zufang/HZ1672130318909308928.html,120.242327,30.306407,小区,26371.0,9099.0,17078.0,16275.0,9099.0,钱江新城,9.099,3,2
杭州,富阳区,富春,复城国际,三居,3室1厅1卫,2200.0,90.0,24.44,南,链家/个人,整租·复城国际 3室1厅 南,https://hz.lianjia.com/zufang/HZ1672528556749488128.html,119.931183,30.04989,小区(模糊),34526.0,42777.0,47785.0,52582.0,34526.0,未来科技城,34.526,1,1
杭州,富阳区,富春,高科商业中心,两居,2室2厅2卫,1200.0,27.0,44.44,南,链家/个人,合租·高科商业中心 2居室 南卧,https://hz.lianjia.com/zufang/HZ1673244737148026880.html,119.897658,30.084265,小区,30631.0,40864.0,37120.0,41917.0,30631.0,未来科技城,30.631,0,1
杭州,上城区,景芳,新城时代广场,一居,1室1厅1卫,3800.0,48.0,79.17,西南,链家,整租·新城时代广场 1室1厅 西南,https://hz.lianjia.com/zufang/HZ1673646123803213824.html,120.20659,30.264364,小区,26072.0,2447.0,9608.0,5653.0,2447.0,钱江新城,2.447,6,1
杭州,富阳区,银湖科技城,万达悦享同心湾北区,三居,3室2厅2卫,2900.0,104.83,27.66,南,链家/个人,整租·万达悦享同心湾北区 3室2厅 南,https://hz.lianjia.com/zufang/HZ1673668430315651072.html,119.96022,30.048803,行政区,32486.0,40907.0,37189.0,41986.0,32486.0,未来科技城,32.486,1,1
杭州,富阳区,银湖科技城,云水山居,三居,3室2厅2卫,1100.0,89.0,12.36,南,链家/个人,整租·云水山居 3室2厅 南,https://hz.lianjia.com/zufang/HZ1673990813605953536.html,119.908195,30.114253,小区,27522.0,38965.0,35221.0,40018.0,27522.0,未来科技城,27.522,0,0
杭州,富阳区,富春,秦忆荣府北区,三居,3室2厅1卫,1000.0,96.0,10.42,南,链家/个人,整租·秦忆荣府北区 3室2厅 南,https://hz.lianjia.com/zufang/HZ1674628171208589312.html,119.91474,30.056462,小区,34364.0,52010.0,48292.0,53089.0,34364.0,未来科技城,34.364,0,0
杭州,西湖区,黄龙,达盟山庄商务公寓,两居,2室1厅1卫,8000.0,101.84,78.55,南,链家/个人,整租·达盟山庄商务公寓 2室1厅 南,https://hz.lianjia.com/zufang/HZ1675150940635660288.html,120.151774,30.261954,小区(模糊),19052.0,6970.0,10336.0,3135.0,3135.0,湖滨商圈,3.135,3,0
杭州,富阳区,富春,乐汇城,一居,1室1厅1卫,1500.0,50.0,30.0,南,链家/个人,整租·乐汇城 1室1厅 跃层 南,https://hz.lianjia.com/zufang/HZ1675379831220469760.html,119.914704,30.063939,小区,33569.0,41956.0,38212.0,43009.0,33569.0,未来科技城,33.569,0,0
杭州,临平区,塘栖,群升星河印象中心,一居,1室1厅1卫,1100.0,30.23,36.39,北,链家,整租·群升星河印象中心 1室1厅 北,https://hz.lianjia.com/zufang/HZ1675450409637904384.html,120.25068,30.465057,小区,40465.0,30071.0,36324.0,33047.0,30071.0,钱江新城,30.071,1,1
杭州,萧山区,湘湖,美之园西区,一居,1室1厅1卫,2500.0,30.0,83.33,南,链家/个人,合租·美之园西区 1居室 跃层 南卧,https://hz.lianjia.com/zufang/HZ1676529956194091008.html,120.24502,30.17212,小区(模糊),41646.0,10919.0,7473.0,15483.0,7473.0,滨江区,7.473,0,0
杭州,临平区,临平新城,鼎和金座,两居,2室1厅2卫,1580.0,40.0,39.5,西南,链家,整租·鼎和金座 2室1厅 西南,https://hz.lianjia.com/zufang/HZ1676588113356390400.html,120.324426,30.435108,小区,43630.0,26988.0,33464.0,31623.0,26988.0,钱江新城,26.988,0,0
杭州,拱墅区,众安桥,竹竿巷,三居,3室1厅1卫,4300.0,71.59,60.06,东 南 北,链家,整租·竹竿巷 3室1厅 东/南/北,https://hz.lianjia.com/zufang/HZ1676796595804307456.html,120.165936,30.259664,小区,19968.0,5299.0,8742.0,1541.0,1541.0,湖滨商圈,1.541,12,6
杭州,上城区,九堡,海棠公寓,三居,3室2厅2卫,6000.0,120.0,50.0,南,链家/个人,整租·海棠公寓 3室2厅 南,https://hz.lianjia.com/zufang/HZ1676875724436275200.html,120.261273,30.317365,小区,28744.0,11476.0,21150.0,18648.0,11476.0,钱江新城,11.476,1,2
杭州,富阳区,富春,金都铭苑,三居,3室2厅2卫,5200.0,142.67,36.45,南,链家/个人,整租·金都铭苑 3室2厅 南,https://hz.lianjia.com/zufang/HZ1677164969306619904.html,119.939877,30.049856,小区,32165.0,42141.0,38397.0,43194.0,32165.0,未来科技城,32.165,1,0
杭州,富阳区,银湖科技城,金宇彩虹嘉都,三居,3室2厅2卫,1900.0,134.66,14.11,南,链家/个人,整租·金宇彩虹嘉都 3室2厅 南,https://hz.lianjia.com/zufang/HZ1677234213834719232.html,119.934607,30.094354,小区,27146.0,37122.0,33378.0,38175.0,27146.0,未来科技城,27.146,1,1
