城市,区域,板块,小区,户型,户型详情,租金,面积,单位租金,朝向,品牌,标题,链接,经度,纬度,坐标精度
深圳,大鹏新区,大鹏半岛,海语山林,三居,3室2厅2卫,3500.0,88.45,39.57,南,链家/个人,整租·海语山林 3室2厅 南,https://sz.lianjia.com/zufang/SZ1762410936989122560.html,114.438249,22.626999,板块
深圳,福田区,梅林,碧云天,三居,3室2厅2卫,11000.0,103.0,106.8,北,链家/个人,整租·碧云天 3室2厅 北,https://sz.lianjia.com/zufang/SZ1763504543208833024.html,114.037157,22.560375,小区
深圳,罗湖区,清水河,龙园山庄,三居,3室2厅2卫,4800.0,107.0,44.86,南,链家/个人,整租·龙园山庄 3室2厅 南,https://sz.lianjia.com/zufang/SZ1767048332078743552.html,114.108544,22.586111,小区
深圳,南山区,蛇口,栖游记,一居,1室0厅1卫,4000.0,30.0,133.33,西南,贝壳优选,整租·栖游记 1室0厅 西南,https://sz.lianjia.com/zufang/SZ1767474138185728000.html,113.930478,22.533191,行政区
深圳,龙岗区,布吉大芬,帝景峰,两居,2室1厅1卫,2600.0,45.01,57.76,东南,贝壳优选,整租·帝景峰 2室1厅 东南,https://sz.lianjia.com/zufang/SZ1774849496186880000.html,114.132798,22.610596,小区
深圳,龙岗区,布吉关,荣超花园,一居,1室1厅1卫,2600.0,45.0,57.78,西,贝壳优选,整租·荣超花园 1室1厅 西,https://sz.lianjia.com/zufang/SZ1775101910928326656.html,114.119217,22.593346,小区
深圳,南山区,蛇口,四海宜家,三居,3室2厅1卫,12300.0,112.0,109.82,北,链家,整租·四海宜家 3室2厅 北,https://sz.lianjia.com/zufang/SZ1775750065864835072.html,113.930478,22.533191,行政区
深圳,福田区,八卦岭,旭飞花园,一居,1室0厅1卫,2200.0,21.04,104.56,东,贝壳优选,整租·旭飞花园 1室0厅 东,https://sz.lianjia.com/zufang/SZ1777325188191354880.html,114.103195,22.558348,小区
深圳,龙岗区,龙岗中心城,碧湖花园,两居,2室2厅1卫,2900.0,72.0,40.28,南 北,链家/个人,整租·碧湖花园 2室2厅 南/北,https://sz.lianjia.com/zufang/SZ1777982638649245696.html,114.241696,22.720398,小区
深圳,南山区,后海,深圳湾公馆,两居,2室2厅3卫,26000.0,87.16,298.3,西,链家/个人,整租·深圳湾公馆 2室2厅 西,https://sz.lianjia.com/zufang/SZ1778705040828006400.html,113.930478,22.533191,行政区
深圳,盐田区,沙头角,壹海中心,一居,1室1厅1卫,10000.0,100.0,100.0,西北 北,链家/个人,整租·壹海中心 1室1厅 西北/北,https://sz.lianjia.com/zufang/SZ1779795326438211584.html,114.237513,22.554642,小区
深圳,盐田区,盐田港,中海半山溪谷花园,三居,3室2厅1卫,4000.0,88.14,45.38,南,链家/个人,整租·中海半山溪谷花园 3室2厅 南,https://sz.lianjia.com/zufang/SZ1780079423941246976.html,114.241376,22.585347,小区
深圳,盐田区,沙头角,碧桐海苑,两居,2室1厅1卫,3700.0,65.68,56.33,西 北,链家,整租·碧桐海苑 2室1厅 西/北,https://sz.lianjia.com/zufang/SZ1780517256149598208.html,114.23108,22.543475,板块
深圳,南山区,蛇口,南达楼,三居,3室2厅2卫,7200.0,80.0,90.0,南,链家/个人,整租·南达楼 3室2厅 南,https://sz.lianjia.com/zufang/SZ1781677642450206720.html,113.922934,22.494088,小区
深圳,龙岗区,坂田,天安云谷产业园二期,两居,2室1厅1卫,3400.0,44.09,77.11,北,贝壳优选,整租·天安云谷产业园二期 2室1厅 复式 北,https://sz.lianjia.com/zufang/SZ1782980302105214976.html,114.068998,22.660029,小区
深圳,南山区,前海,星海名城五期,一居,1室0厅1卫,4200.0,34.59,121.42,北,贝壳优选,整租·星海名城五期 1室0厅 北,https://sz.lianjia.com/zufang/SZ1786239314175197184.html,113.930478,22.533191,行政区
深圳,龙岗区,龙岗中心城,琳珠华庭,一居,1室0厅1卫,2150.0,39.0,55.13,东南,贝壳优选,整租·琳珠华庭 1室0厅 东南,https://sz.lianjia.com/zufang/SZ1786697356675121152.html,114.235014,22.70402,小区
深圳,罗湖区,春风路,长丰苑,一居,1室1厅1卫,3500.0,39.25,89.17,南,贝壳优选,整租·长丰苑 1室1厅 南,https://sz.lianjia.com/zufang/SZ1787802134687776768.html,114.127675,22.542081,小区
深圳,龙华区,龙华新区,金地梅陇镇三期,三居,3室2厅2卫,5800.0,88.44,65.58,南 北,贝壳优选,整租·金地梅陇镇三期 3室2厅 南/北,https://sz.lianjia.com/zufang/SZ1788863638333816832.html,114.031362,22.672346,板块
深圳,龙岗区,横岗,志健时代广场,一居,1室1厅1卫,2200.0,47.71,46.11,西北,贝壳优选,整租·志健时代广场 1室1厅 西北,https://sz.lianjia.com/zufang/SZ1790077650778193920.html,114.204805,22.647134,小区
深圳,罗湖区,东门,培森大厦,两居,2室1厅1卫,3600.0,48.0,75.0,南,链家,整租·培森大厦 2室1厅 南,https://sz.lianjia.com/zufang/SZ1791324593412112384.html,114.12028,22.554611,小区
深圳,罗湖区,百仕达,阳光绿地家园,一居,1室1厅1卫,3300.0,39.05,84.51,东南,贝壳优选,整租·阳光绿地家园 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1791459335998537728.html,114.131611,22.548309,行政区
深圳,福田区,华强北,玮鹏花园,两居,2室1厅1卫,8800.0,84.0,104.76,北,链家/个人,整租·玮鹏花园 2室1厅 北,https://sz.lianjia.com/zufang/SZ1791750951267205120.html,114.094633,22.542175,小区
深圳,龙岗区,布吉大芬,怡康家园,一居,1室1厅1卫,2000.0,32.13,62.25,南,贝壳优选,整租·怡康家园 1室1厅 南,https://sz.lianjia.com/zufang/SZ1792971178474733568.html,114.137096,22.614354,小区
深圳,宝安区,翻身,卡罗社区,一居,1室1厅1卫,3900.0,35.8,108.94,东南,贝壳优选,整租·卡罗社区 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1793574394413449216.html,113.883831,22.554986,行政区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅4卫,50000.0,198.0,252.53,东,链家,整租·东海国际公寓 3室2厅 东,https://sz.lianjia.com/zufang/SZ1795452890505019392.html,114.020414,22.536365,小区
深圳,罗湖区,春风路,金城大厦,两居,2室1厅1卫,4200.0,48.0,87.5,南,链家/个人,整租·金城大厦 2室1厅 南,https://sz.lianjia.com/zufang/SZ1795670476853346304.html,114.121813,22.542989,小区
深圳,宝安区,福永,会展湾水岸,一居,1室1厅1卫,2900.0,37.68,76.96,东南,贝壳优选,整租·会展湾水岸 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1797232329937125376.html,113.883831,22.554986,行政区
深圳,龙华区,龙华中心,通达汇轩,一居,1室1厅1卫,1900.0,29.24,64.98,南 北,贝壳优选,整租·通达汇轩 1室1厅 南/北,https://sz.lianjia.com/zufang/SZ1798629941357576192.html,114.04491,22.696735,小区
深圳,福田区,香蜜湖,财富广场,两居,2室1厅1卫,8000.0,80.0,100.0,南,链家/个人,整租·财富广场 2室1厅 南,https://sz.lianjia.com/zufang/SZ1798659766113796096.html,114.026623,22.537588,小区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅3卫,29500.0,191.83,153.78,西北,链家,整租·东海国际公寓 3室2厅 西北,https://sz.lianjia.com/zufang/SZ1799434527089623040.html,114.055198,22.520922,行政区
深圳,坪山区,坪山,恒大成二期,三居,3室2厅2卫,3700.0,95.0,38.95,南,贝壳优选,整租·恒大成二期 3室2厅 南,https://sz.lianjia.com/zufang/SZ1800032250796965888.html,114.339587,22.698099,小区
深圳,罗湖区,地王,中航凯特公寓,一居,1室0厅1卫,2400.0,28.08,85.47,东,贝壳优选,整租·中航凯特公寓 1室0厅 东,https://sz.lianjia.com/zufang/SZ1800040015321890816.html,114.1089,22.551453,小区
深圳,南山区,科技园,大冲新城花园,两居,2室1厅1卫,5600.0,60.0,93.33,东,贝壳优选,整租·大冲新城花园 2室1厅 东,https://sz.lianjia.com/zufang/SZ1800743878261735424.html,113.94679,22.556374,板块
深圳,龙岗区,龙岗中心城,远洋新干线晶钻广场,两居,2室1厅1卫,2400.0,48.36,49.63,北,贝壳优选,整租·远洋新干线晶钻广场 2室1厅 北,https://sz.lianjia.com/zufang/SZ1800935962130251776.html,114.261939,22.719006,小区
深圳,南山区,科技园,科苑居,一居,1室0厅1卫,4000.0,40.0,100.0,东南,贝壳优选,整租·科苑居 1室0厅 东南,https://sz.lianjia.com/zufang/SZ1801095514695925760.html,113.943346,22.542894,小区
深圳,南山区,前海,星海名城三期,两居,2室2厅1卫,6700.0,78.62,85.22,西南,贝壳优选,整租·星海名城三期 2室2厅 西南,https://sz.lianjia.com/zufang/SZ1801560213975728128.html,113.930478,22.533191,行政区
深圳,龙岗区,龙岗中心城,仁恒梦公园,一居,1室1厅1卫,2300.0,38.47,59.79,东南,贝壳优选,整租·仁恒梦公园 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1801933391428321280.html,114.224987,22.730632,小区
深圳,福田区,福田中心,雅颂居,两居,2室2厅2卫,16000.0,129.0,124.03,北,链家,整租·雅颂居 2室2厅 北,https://sz.lianjia.com/zufang/SZ1801943847043858432.html,114.066576,22.543637,小区
深圳,南山区,南山中心,友邻公寓,一居,1室0厅1卫,4000.0,31.0,129.03,南,贝壳优选,整租·友邻公寓 1室0厅 南,https://sz.lianjia.com/zufang/SZ1801991597320044544.html,113.930478,22.533191,行政区
深圳,南山区,蛇口,弘都世纪公寓,两居,2室1厅1卫,5500.0,45.06,122.06,北,贝壳优选,整租·弘都世纪公寓 2室1厅 北,https://sz.lianjia.com/zufang/SZ1802276048994304000.html,113.936297,22.495158,小区
深圳,龙岗区,龙岗中心城,仁恒梦公园,一居,1室1厅1卫,2200.0,38.52,57.11,南,贝壳优选,整租·仁恒梦公园 1室1厅 南,https://sz.lianjia.com/zufang/SZ1802588265681780736.html,114.224987,22.730632,小区
深圳,宝安区,宝安中心,御景湾,三居,3室1厅2卫,1888.0,14.0,134.86,南,链家,合租·御景湾 3居室 南卧,https://sz.lianjia.com/zufang/SZ1802911229916741632.html,113.887233,22.554575,板块
深圳,宝安区,福永,会展湾水岸,两居,2室2厅1卫,3500.0,56.0,62.5,东南,贝壳优选,整租·会展湾水岸 2室2厅 东南,https://sz.lianjia.com/zufang/SZ1804068234727522304.html,113.782013,22.699835,小区
深圳,龙华区,上塘,港铁天颂,三居,3室2厅2卫,5800.0,88.8,65.32,东南 南,贝壳优选,整租·港铁天颂 3室2厅 东南/南,https://sz.lianjia.com/zufang/SZ1805560780658049024.html,114.010176,22.64477,小区
深圳,龙华区,龙华新区,锦绣江南二期,三居,3室2厅2卫,5600.0,103.0,54.37,南,贝壳优选,整租·锦绣江南二期 3室2厅 南,https://sz.lianjia.com/zufang/SZ1805810396926312448.html,114.031362,22.672346,板块
深圳,南山区,科技园,大冲新城花园,一居,1室1厅1卫,5300.0,50.0,106.0,北,贝壳优选,整租·大冲新城花园 1室1厅 北,https://sz.lianjia.com/zufang/SZ1805922347106959360.html,113.951113,22.542148,小区
深圳,南山区,前海,鼎太风华七期,两居,2室2厅1卫,6700.0,67.0,100.0,南,贝壳优选,整租·鼎太风华七期 2室2厅 南,https://sz.lianjia.com/zufang/SZ1809131094889463808.html,113.9074,22.515243,小区
深圳,南山区,后海,雅仕荔景苑,一居,1室1厅1卫,5000.0,36.0,138.89,东南,贝壳优选,整租·雅仕荔景苑 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1809547577452920832.html,113.930478,22.533191,行政区
深圳,龙岗区,布吉街,青青家园,两居,2室1厅1卫,1800.0,56.0,32.14,南,链家/个人,整租·青青家园 2室1厅 南,https://sz.lianjia.com/zufang/SZ1809825163747786752.html,114.100505,22.612568,小区
深圳,南山区,华侨城,陶然居,一居,1室1厅1卫,2800.0,30.94,90.5,南,贝壳优选,整租·陶然居 1室1厅 南,https://sz.lianjia.com/zufang/SZ1809846048420528128.html,113.974307,22.541544,小区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅2卫,20000.0,182.0,109.89,南,链家/个人,整租·东海国际公寓 3室2厅 南,https://sz.lianjia.com/zufang/SZ1809896518694469632.html,114.032701,22.546226,板块
深圳,盐田区,沙头角,梅花楼,三居,3室2厅1卫,3200.0,91.0,35.16,东南,链家/个人,整租·梅花楼 3室2厅 东南,https://sz.lianjia.com/zufang/SZ1810890597607669760.html,114.236739,22.557001,小区
深圳,南山区,科技园,朗景园,一居,1室1厅1卫,5100.0,43.0,118.6,北,贝壳优选,整租·朗景园 1室1厅 北,https://sz.lianjia.com/zufang/SZ1810970488919293952.html,113.950558,22.540989,小区
深圳,福田区,香蜜湖,东海国际公寓,三居,3室2厅3卫,64500.0,250.0,258.0,南,链家,整租·东海国际公寓 3室2厅 南,https://sz.lianjia.com/zufang/SZ1811621343255330816.html,114.055198,22.520922,行政区
深圳,盐田区,沙头角,深沙大楼,一居,1室1厅1卫,2300.0,28.0,82.14,东南,链家/个人,整租·深沙大楼 1室1厅 东南,https://sz.lianjia.com/zufang/SZ1811654913764098048.html,114.232298,22.553817,小区
深圳,福田区,竹子林,育星苑,两居,2室1厅1卫,4200.0,60.0,70.0,南,链家,整租·育星苑 2室1厅 南,https://sz.lianjia.com/zufang/SZ1811973737449259008.html,114.009105,22.535057,小区
深圳,盐田区,沙头角,壹海中心,一居,1室0厅0卫,40000.0,186.0,215.05,南,链家/个人,整租·壹海中心 1室0厅 南,https://sz.lianjia.com/zufang/SZ1812796771835838464.html,114.236739,22.557001,行政区
深圳,龙华区,龙华新区,苹果园,两居,2室1厅1卫,4000.0,54.0,74.07,南 北,贝壳优选,整租·苹果园 2室1厅 南/北,https://sz.lianjia.com/zufang/SZ1813545081391546368.html,114.029114,22.638535,小区
深圳,罗湖区,万象城,城市天地广场,两居,2室1厅1卫,8000.0,117.7,67.97,南,链家/个人,整租·城市天地广场 2室1厅 南,https://sz.lianjia.com/zufang/SZ1813546225643814912.html,114.113112,22.537679,小区
